speaker,text,date,year,debate_id,predicted_fallacy_meta.llama-3-2-3b-instruct
Donald Trump,"i dont think were going to have a dark winter at all. were opening up our country. weve learned and studied and understand the disease, which we didnt at the beginning. when i closed and banned china from coming in heavily infected, and then ultimately europe, but china was in january  months later he was saying i was xenophobic, i did it too soon. now hes saying, oh, i should have, i should have, you know, moved quicker. but he didnt move quicker he was months behind me, many months behind me. and frankly, he ran the h1n1 swine flu, and it was a total disaster. far less lethal. but it was a total disaster. had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. look, his own person who ran that for him who, as you know was his chief of staff, said it was catastrophic, it was horrible, we didnt know what we were doing. now he comes up and he tells us how to do this. also everything that he said about the way  every single move that he said we should make  thats what weve done, weve done all of it, but he was way behind us.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"vice president biden, your response?",2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"my responses is, he is xenophobic but not because he shut down access from china. and he did it late, after 40 countries had already done that. in addition to that, what he did, he made sure that we had 44 people that were in there, in china, trying to get to wuhan to determine what exactly the source was. what did the president say in january? he said no, he said, this is  hes being transparent, the president of china is being transparent. we owe him a debt of gratitude. we have to thank him. and then what happened was, we started talking about using the defense act, to make sure we go out and get whatever is needed out there to protect people. and again, i go back to this, he had nothing. he did virtually nothing. and then he gets out of the hospital, and he talks about were, this is, oh, dont worry. this is all going to be over soon. come on, theres not another serious scientist in the world who thinks its going to be over soon.",2020-10-22,2020,2020_October_22_2020,None
Welker,"president trump, your reaction?",2020-10-22,2020,2020_October_22_2020,ad hominem
Donald Trump,"i did not say over soon. i say were learning to live with it. we have no choice. we cant lock ourselves up in a basement like joe does. he has the ability to lock himself up. i dont know, hes obviously made a lot of money, someplace, but he has this thing about living in a basement. people cant do that. by the way, i, as the president, couldnt do that. id love to put myself in the basement or in a beautiful room in the white house and go away for a year and a half until it disappears. i cant do that. and kristen  every, every meeting i had  every meeting i had  and id meet a lot of families, including gold star families and military families, every meeting i had  and i had to meet them, i had to, it would be horrible to have canceled everything. i said, you know, this is dangerous. and you catch it. and you know, i caught it. i learned a lot. i learned a lot, great doctors, great hospitals. and now, i recovered. 99.9 of young people recover. 99 of people recover. we have to recover. we cant close up our nation, we have to open our school, and we cant close up our nation, or youre not going to have a nation.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"and of course the cdc has said young people can get sick with covid19 and can pass it. vice president biden, i want to talk broadly about strategy, though.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Joe Biden,can i respond to that?,2020-10-22,2020,2020_October_22_2020,None
Welker,"30 seconds please, and then i have a question.",2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"number one. he says that were, you know, were learning to live with it. people are learning to die with it. you folks home will have an empty chair at the kitchen table this morning. that man or wife going to bed tonight and reaching over to try to touch their, out of habit, where their wife or husband was, is gone. learning to live with it? come on. were dying with it, because hes never said  he said its dangerous. whens the last time? is it really dangerous, still? are we dangerous? you tell the people its dangerous now? what should they do about the danger? and you say, i take no responsibility.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,let me talk about,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,excuse me.,2020-10-22,2020,2020_October_22_2020,None
Welker,very quickly.,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"i take full responsibility. its not my fault that it came here. its chinas fault. and you know what, its not joes fault that it came here either. its chinas fault. they kept it from going into the rest of china, for the most part, but they didnt keep it from coming out to the world including europe and ourselves.",2020-10-22,2020,2020_October_22_2020,false dilemma
Welker,vice president biden.,2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"the fact is, that when we knew it was coming, when it hit  what happened? what did the president say? he said dont worry, its going to go away, be gone by easter. dont worry, the warm weather. dont worry, maybe inject bleach  he said he was kidding when he said that, but a lot of people thought it was serious. a whole range of things the president said. and even today, he thinks we are in control. were about to lose 200,000 more people.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,president trump.,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"look, perhaps just to finish this, i was kidding on that but just to finish this. when i closed, he said, i shouldnt have closed. and that went on for months. what nancy pelosi said the same thing. she was dancing on the streets in chinatown in san francisco. but when i closed, he said, this is a terrible thing. youre xenophobic. i think he called me racist, even, and because i was closing it to china. now he says i should have closed it earlier. it just, joe, it doesnt work.",2020-10-22,2020,2020_October_22_2020,ad hominem
Joe Biden,i didnt say either of those things.,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,you certainly did.,2020-10-22,2020,2020_October_22_2020,None
Joe Biden,i talked about his xenophobia in a different context. it wasnt about closing the border to chinese coming to the united states.,2020-10-22,2020,2020_October_22_2020,None
Welker,"all right, i want to talk about both of your different strategies to handling this.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,he thought i shouldnt have closed the border. thats obvious.,2020-10-22,2020,2020_October_22_2020,ad hominem
Welker,"do you want to respond to that quickly, vice president biden?",2020-10-22,2020,2020_October_22_2020,None
Welker,"ok, lets talk about your different strategies toward dealing with this. mr. vice president, you suggested you would support new shutdowns if scientists recommended it. what do you say to americans who are fearful that the cost of shutdowns, the impact on the economy, the higher rates of hunger, depression, domestic and substance abuse, outweighs the risk of exposure to the virus?",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Joe Biden,"what i would say is im going to shut down the virus, not the country. its his ineptitude that caused the country to have to shut down in large part  why businesses have gone under, why schools are closed, why so many people have lost their living and why theyre concerned. those other concerns are real. thats why he should have been  instead of in a sand trap at his golf course  he should have been negotiating with nancy pelosi and the rest of the democrats and republicans about what to do about the acts they were passing for billions of dollars to make sure people had the capacity.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,well you havent ruled out more shutdowns.,2020-10-22,2020,2020_October_22_2020,false dilemma
Joe Biden,"oh no, im not shutting down the nation but there are, look, they need standards. the standard is, if you have a reproduction rate in a community thats above a certain level, everybody says, slow up. more social distancing. do not open bars and do not open gymnasiums. do not open until you get this under control, under more control. but when you do open, give the people the capacity to be able to open and have the capacity to do it safely. for example schools  schools, they need a lot of money to open. they need to deal with ventilation systems, they need to deal with smaller classes, more teachers, more pods, and hes refused to support that money, or at least up to now.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,lets talk about schools. president trump,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"well, i think we have to respond, if i might.",2020-10-22,2020,2020_October_22_2020,None
Welker,"please, and then i have a follow up.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"thank you, and i appreciate that. look, all he does is talk about shutdowns but forget about him. his democrat governors  cuomo in new york, you look at whats going on in california, you look at pennsylvania, north carolina, democrats, democrats all  they are shut down so tight, and theyre dying. theyre dying. and he supports all these people. all he talks about is shutdowns. no, were not going to shut down, and we have to open our schools. and its like, as an example, i have a young son. he also tested positive. by the time i spoke to the doctor, the second time, he was fine, it just went away. young people, i guess its their immune system.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,"let me follow up with you, president trump. youve demanded schools open in person and insisted they can do it safely. but just yesterday, boston became the latest city to move its public school system entirely online after a coronavirus spike. what is your message to parents who worry that sending their children to school will endanger not only their kids, but also their teachers and families?",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"i want to open the schools. the transmittal rate to the teachers is very small, but i want to open the schools. we have to open our country. were not going to have a country. you cant do this, we cant keep this country closed. it is a massive country with a massive economy. people are losing their jobs, theyre committing suicide. theres depression, alcohol, drugs at a level that nobodys ever seen before. theres abuse, tremendous abuse. we have to open our country. you know ive said it often  the cure cannot be worse than the problem itself, and thats whats happening, and he wants to close down. hell close down the country if one person in our, in our massive bureaucracy says we should close it down.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,"vice president biden, your response.",2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"simply not true. were gonna be able to walk and chew gum at the same time. we ought to be able to safely open, but they need resources to open. you need to be able to, for example, if youre gonna open a business, have social distancing within the business. you need to have, if you have a restaurant, you need to have plexiglass dividers so people cannot infect one another. you need to be in a position where you can take testing rapidly and know whether a person is, in fact, infected. you need to be able to trace. you need to be able to provide all the resources that are needed to do this and that is not inconsistent with saying that were going to make sure that we open safely. and by the way, all you teachers out there  not that many of you are going to die, so dont worry about it. dont worry about it. come on.",2020-10-22,2020,2020_October_22_2020,None
Welker,"president trump, let me follow up with you quickly.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"by the way, i will say this, if you go and look at whats happened to new york, its a ghost town. its a ghost town. and when you talk about plexiglass  these are restaurants that are dying. these are businesses with no money. putting up plexiglass is unbelievably expensive, and its not the answer. i mean, youre going to sit there in a cubicle wrapped around with plastic? these are businesses that are dying, joe, you cant do that to people, you just cant. take a look at new york and whats happened to my wonderful city. for so many years, i loved it. it was vibrant. its dying. everyones leaving new york.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,vice president biden.,2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"take a look at what new york has done in terms of turning the curve down, in terms of the number of people dying. and i dont look at this in terms of the way he does, blue states and red states. theyre all the united states. and look at the states that are having such a spike in the coronavirus. theyre the red states. they are the states in the midwest, they are the states in the upper midwest, thats where the spike is occurring significantly, but theyre all americans. theyre all americans and what we have to do is say, wear these masks, number one, make sure we get the help that the businesses need. the moneys already been passed to do that. its been out there since the beginning of the summer and nothings happened.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Donald Trump,"kristen, new york has lost more than 40,000 people. 11,000 people in nursing homes.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"president trump, what about",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"when you say spike, take a look at whats happening in pennsylvania, where theyve had it closed. take a look at whats happening with your friend in michigan, where her husbands the only one allowed to do anything. its been like a prison. now it was just ruled unconstitutional. take a look at north carolina. theyre having spikes and theyve been closed, and theyre getting killed financially. we cant let that happen, joe, you cant let that happen. we have to open up and we understand the disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them. we have the best testing in the world by far. thats why we have so many cases.",2020-10-22,2020,2020_October_22_2020,ad hominem
Welker,"let me follow up with you before we move on to our next section. president trump, this week you called dr. anthony fauci, the nations best known infectious disease expert, a disaster. you described him and other medical experts as idiots. if youre not listening to them, who are you listening to?",2020-10-22,2020,2020_October_22_2020,false dilemma
Donald Trump,"im listening to all of them, including anthony. i get along very well with anthony. but he did say, dont wear masks. he did say, as you know, this is not going to be a problem. i think hes a democrat, but thats okay. he said, this is not going to be a problem. we are not going to have a problem at all. when joe says that, i said  anthony fauci said and others and many others. and im not knocking him. nobody knew. look, nobody knew what this thing was, nobody knew where it was coming from, what it was. weve learned a lot, but anthony said, dont wear masks. now he wants to wear masks. anthony also said, if you look back, exact words, heres his exact words this is no problem, this is going to go away soon. so hes allowed to make mistakes, he happens to be a good person.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"vice president biden, your response, quickly and then were going to move on to the next section.",2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"my response is that, think about what the president knew in january and didnt tell the american people. he was told this was a serious virus that spread in the air, and it was much worse than  much worse  than the flu. he went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didnt want to tell us, didnt want to tell us because he didnt want us to panic. he didnt want us  americans dont panic. he panicked. but, guess what, in the meantime, we find out in the new york times the other day that in fact, his folks went to wall street and said, this is a really dangerous thing, and a memo out of that meeting  not from his administration, but from some of the brokers  said, sell short, because we gotta get moving. its a dangerous problem.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Donald Trump,well this is,2020-10-22,2020,2020_October_22_2020,None
Welker,im going to give you 30 seconds to respond and then were gonna move on.,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"i dont know, somebody went to wall street. youre the one that takes all the money from wall street. i dont take it. you have raised a lot of money, tremendous amounts of money. and every time you raise money, deals are made, joe. i could raise so much more money. as president and as somebody that knows most of those people, i could call the heads of wall street, the heads of every company in america, i would blow away every record. but i dont want to do that because it puts me in a bad position. and then you bring up wall street? you shouldnt be bringing up wall street. because youre the one that takes the money from wall street, not me. i could blow away your records like you wouldnt believe. we dont need money. we have plenty of money. in fact, we beat hillary clinton with a tiny fraction of the money that she was able to get. dont tell me about wall street.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"all right, gentlemen, were gonna move on.",2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"average contribution, 43.",2020-10-22,2020,2020_October_22_2020,None
Welker,"all right, were gonna move on to our next section which is national security. and i do want to start with the security of our elections and some breaking news from overnight. just last night, top intelligence officials confirmed again that both russia and iran are working to influence this election. both countries have obtained u.s. voter registration information, these officials say, and iran sent intimidating messages to florida voters. this question goes to you, mr. vice president, what would you do to put an end to this threat? you have two minutes, uninterrupted.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Joe Biden,"i made it clear. and i asked everyone else to take the pledge. i made it clear that any country, no matter who it is, that interferes in american elections will pay a price. they will pay a price. it has been overwhelmingly clear in this election  i wont even get into the last one  this election, that russia has been involved. china has been involved to some degree, and now we learned that, that iran is involved. they will pay a price if im elected. theyre interfering with american sovereignty. thats whats going on right now. theyre interfering with american sovereignty. and to the best of my knowledge, i dont think the president has said anything to putin about it. i dont think hes talking to him a lot. i dont think hes said a word. i dont know why he hasnt said a word to putin about it. and i dont know what he has recently said, if anything, to the iranians. my guess is hed probably be more outspoken with regard to the iranians. but the point is this, folks. we are in a situation where we have foreign countries trying to interfere in the outcome of our election. his own national security advisor told him that what is happening with his buddy  well, i wont, i shouldnt  i will  his buddy rudy giuliani. hes being used as a russian pawn. hes being fed information that is russian, that is not true. and then what happens? nothing happens. and then you find out that everything is going on here about russia is wanting to make sure that i do not get elected the next president of the united states because they know i know them, and they know me. i dont understand why this president is unwilling to take on putin when hes actually paying bounties to kill american soldiers in afghanistan, when hes engaged in activities that are trying to destabilize all of nato. i dont know why he doesnt do it but its worth asking the question. why isnt that being done? any country that interferes with us will, in fact, pay a price because theyre affecting our sovereignty.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"president trump, same question to you. let me, let me ask the question. youre gonna have two minutes to respond for two elections in a row now there has been substantial interference from foreign adversaries. what would you do in your next term to put an end to this? two minutes, uninterrupted.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"well, let me respond to the first part, as joe answered. joe got three and a half million dollars from russia. and it came through putin, because he was very friendly with the former mayor of moscow and it was the mayor of moscows wife. you got three and a half million dollars. your family got three and a half million dollars and you know someday, youre gonna have to explain  why did you get three and a half? i never got any money from russia. i dont get money from russia. now, about your thing last night, i knew all about that, and through john  who is john radcliffe, who is fantastic, dni  he said, the one thing thats common to both of them, they both want you to lose. because there has been nobody tougher to russia. between the sanctions, nobody tougher than me on russia. between the sanctions between all of what ive done with nato. you know, ive got the nato countries to put up an extra 130 billion, going to 420 billion a year, thats to guard against russia. i sold  while he was selling pillows and sheets  i sold tank busters to ukraine. there has been nobody tougher on russia than donald trump. and ill tell you, they were so bad. they took over the, the submarine port. you remember that very well during your term, during you and barack obama. they took over a big part of what should have been ukraine. you handed it to them. but you were getting a lot of money from russia. they were paying you a lot of money and they probably still are, but now, with what came out today, its even worse. all of the emails, the emails are horrible. the emails of the kind of money that you were raking in, you and your family. and joe, you were vice president when some of this was happening. and it should have never happened. and i think you owe an explanation to the american people. why is it, somebody just had a news conference a little while ago, who was essentially supposed to work with you and your family, but what he said was damning. and regardless of me, i think you have to clean it up and talk to the american people. maybe you can do it right now.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"vice president biden, you may respond and then i do want to follow up on the election security.",2020-10-22,2020,2020_October_22_2020,ad hominem
Joe Biden,"i have not taken a penny from any foreign source ever in my life. we learn that this president paid 50 times the tax in china, has a secret bank account with china, does business in china, and in fact, is talking about me taking money? i have not taken a single penny from any country whatsoever, ever, number one. number two, this is a president  i have released all of my tax returns. 22 years. go look at them. 22 years of my tax returns. you have not released a single solitary year of your tax return. what are you hiding? why are you unwilling? the foreign countries are paying you a lot. russia is paying you a lot. china is paying a lot. and your hotels and all your businesses all around the country, all around the world. and chinas building a new road to a new gas a golf course you have overseas. so whats going on here? why dont you release your tax return or stop talking about corruption?",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"president trump, your response.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"first of all, i called my accountants  under audit. im going to release them as soon as we can. i want to do it, and it will show how successful, how great this company is. but much more importantly than that, people were saying 750. i asked them a week ago, i said, what did i pay? they said, sir, you prepaid tens of millions of dollars. i prepaid my tax. tens. over the last number of years. tens of millions of dollars, i prepaid, because at some point, they think, its an estimate. they think i may have to pay tax. so, i already prepaid it. nobody told me that.",2020-10-22,2020,2020_October_22_2020,false dilemma
Welker,did your accountant tell you,2020-10-22,2020,2020_October_22_2020,ad hominem
Donald Trump,"excuse me. and it wasnt written whenever they write this. they keep talking about 750, which i think is a filing fee. but let me just tell you, i prepaid millions and millions of dollars in taxes, number one. number two, i dont make money from china, you do. i dont make money from ukraine, you do. i dont make money from russia. you made three and a half million dollars, joe, and your son gave you. they even have a statement that we have to give 10 to the big man. youre the big man, i think. i dont know, maybe youre not. but youre the big man, i think. your son said we have to give 10 to the big man. joe, whats that all about? its terrible.",2020-10-22,2020,2020_October_22_2020,ad hominem
Welker,"alright, gentlemen, i want to ask you both some questions about all of this. im gonna let you both respond, very quickly. you just said you spoke to your accountant about potentially releasing your taxes. did he tell you when you can release them? do you have a deadline for when youre going to release them to the american people?",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"i get treated worse than the tea party got treated. a lot of people in there, deep down in the irs, they treat me horribly. we made a deal, it was all settled, until i decided to run for president. i get treated very badly by the irs, very unfairly, but we had a deal all done. as soon as were completed with the deal, i want to release it. but i have paid millions and millions of dollars. and its worse than paying. i paid in advance. its called prepaying your taxes.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,i want to ask you both about questions regarding your potential foreign entanglements and questions that have been raised to give you both a chance to talk about this more broadly.,2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Joe Biden,at some point i want to respond.,2020-10-22,2020,2020_October_22_2020,None
Welker,"respond very quickly, and then ill get to my question.",2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"why do he  hes been saying this for four years. show us. just show us. stop playing around. youve been saying for four years youre going to release your taxes. nobody knows, mr. president, what they do know is youre not paying your taxes or youre paying taxes that are so low. when last time he said what he paid, he said, i only pay that little because im smart. i know how to game the system. come on, come on, folks.",2020-10-22,2020,2020_October_22_2020,appeal to emotion
Welker,"quickly, president trump, and then i want to get to two questions to both of you.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"i was put through a phony witch hunt for three years. it started before i even got elected. they spied on my campaign. no president should ever have to go through what i went through. let me just say this. mueller and 18 angry democrats, and fbi agents all over the place spent 48 million. they went through everything i had, including my tax returns, and they found absolutely no collusion and nothing wrong. 48 million. i guarantee you, if i spent 1 million on you joe, i could find plenty wrong, because the kind of things that youve done and the kind of monies that your family has taken  i mean, your brother made money in iraq, millions of dollars. your other brother made a fortune, and its all through you, joe. and they say you get some of it. and you do live very well. you have houses all over the place. you live very well.",2020-10-22,2020,2020_October_22_2020,ad hominem
Welker,"all right, gentlemen, let me just ask some questions about all of this broadly. vice president biden, there have been questions about the work your son has done in china, and for a ukrainian energy company when you were vice president. in retrospect, was anything about those relationships inappropriate or unethical?",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Joe Biden,"nothing was unethical. heres what the deal. with regard to ukraine, we had this whole question about whether or not, because he was on the board, i later learned, of burisma, a company, that somehow i had done something wrong. yet every single solitary person, when he was going through his impeachment, testifying under oath who worked for him, said i did my job impeccably. i carried out us policy. not one, single, solitary thing was out of line. not a single thing, number one. number two, the guy who got in trouble in ukraine was this guy, trying to bribe the ukrainian government to say something negative about me, which they would not do, and did not do, because it never, ever, ever happened. my son has not made money in terms of this thing about  what are you talking about  china. i have not had it. the only guy that made money from china is this guy. hes the only one. nobody else has made money from china.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,"president trump, let me ask my question to you.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,could i just  one thing.,2020-10-22,2020,2020_October_22_2020,None
Welker,very quickly.,2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"his son didnt have a job for a long time, was sadly no longer in the military service, i wont get into that. and he didnt have a job. as soon as he became vice president, burisma  not the best, not the best reputation in the world  i hear they paid him 183,000 a month. listen to this, 183, and they gave him a 3 million upfront payment, and he had no energy experience. thats 100 dishonest.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Welker,im going to let the vice president respond to that quickly and then i have a question for you.,2020-10-22,2020,2020_October_22_2020,None
Joe Biden,"no basis for that. everybody investigated that, no one said anything he did was wrong in ukraine.",2020-10-22,2020,2020_October_22_2020,false dilemma
Welker,"ok, president trump, this is for you. since you took office, youve never divested from your business. youve personally promoted your properties abroad. a report this week, which was referenced, does indicate that your company has a bank account in china. so how can voters know that you dont have any foreign conflicts of interest?",2020-10-22,2020,2020_October_22_2020,false dilemma
Donald Trump,"i have many bank accounts and theyre all listed and theyre all over the place. i mean, i was a businessman doing business. the bank account youre referring to  which is, everybody knows about it, its listed  the bank account was in 2013. thats what it was. it was opened. it was closed in 2015, i believe, and then i decided, because i was going to do, i was thinking about doing a deal in china, like millions of other people, i was thinking about it. and i decided im not going to do it, didnt like it, i decided not to do it, had an account open and i closed it.",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Donald Trump,"excuse me, and then unlike him, where hes vice president, and he does business, i then decided to run for president after that. that was before. so i closed it before i even ran for president, let alone became president, big difference. he is the vice president of the united states, and his son, his brother and his other brother are getting rich, theyre like a vacuum cleaner, theres something",2020-10-22,2020,2020_October_22_2020,false dilemma
Welker,"okay, president trump, thank you. we do need to move on. i do want to ask you, vice president biden, about china. lets talk about china more broadly. there have, of course, president trump has said that they should pay for not being fully transparent in regards to the coronavirus. if you were president, would you make china pay and please be specific, what would that look like?",2020-10-22,2020,2020_October_22_2020,fallacy of relevance
Joe Biden,"what id make china do is play by the international rules, not like he has done. he has caused the deficit in china to go up not down  with china, up not down. we are making sure that in order to do business in china, you have to give all your intellectual property. you have to gethave a partner in china, it is 51. we would not do that at all, number one. number two, were in a situation where china would have to play by the rules internationally as well. when i met with xi, and when i was still vice president, he said were setting up air identification zones in the south china sea, you cant fly through them. i said, were gonna fly through them. we just flew b52b1 bombers through it. were not going to pay attention. they have to play by the rules, and whats he do? he embraces guys like the thugs like in north korea, and, and, and the chinese president and putin and others, and he pokes his finger in the eye of all our friends, all of our allies. we make up only  were 25. 25 of the worlds economy. we need to be having the rest of our friends with us, saying to china, these are the rules. you play by them or youre going to pay the price for not playing by them, economically. thats the way i will run it. and thats what we did and upholding steel tariffs and a range of other things when we were president and vice president.",2020-10-22,2020,2020_October_22_2020,ad hominem
Welker,"all right, lets talk about north korea.",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,"excuse me, no, i have to respond to this.",2020-10-22,2020,2020_October_22_2020,None
Welker,"ok, very quickly and then were gonna move on to north korea",2020-10-22,2020,2020_October_22_2020,None
Donald Trump,his son walked out with a billion and a half dollars from china,2020-10-22,2020,2020_October_22_2020,false dilemma
Donald Trump,"after spending 10 minutes in office and being in air force two, number one. number two, theres a very strong email, talking about your family wanting to make 10 million a year for introductions.",2020-10-22,2020,2020_October_22_2020,ad hominem
